year,soil_m,discharge,phosphorus,sus_seds,cyano,SST,extevents,no3no2_sloh,totpuf_sloh,nipa_sst,nipa_slp,MEI,cllji_sst,cllji_slp,MODIS,Daphnia_pulicaria
1995,636.63,21.2,16.29,4.03,5.27,28.862,3,0.436,0.066,-6.185093704,-3.986238867,0,0.607755496,-0.809027451,0.016,0
1996,698.39,47.13,111.34,20.55,2.89,28.215,3,0.632,0.0925,0.213182931,-0.892213582,-0.9,-0.23796704,-0.472943816,0.008,105990
1997,642,19.2,16.29,2.09,1.06,29.035,4,0.5035,0.089,-0.347210851,0.508838698,2.25,6.571466462,-5.071664264,0.004,238779
1998,646.13,42.27,112.6,29.53,4.12,29.158,6,0.372,0.119,-2.047019879,-1.991008092,0.37,2.195330216,-3.032646782,0.008,31788
1999,646.79,24.1,35.63,10.51,4.07,27.879,4,0.591,0.089,-2.554832953,-7.600885511,-1.26,-10.12441637,5.529468127,0.0175,160740
2000,685.61,75.37,334.49,66.01,7.05,28.156,5,0.503,0.1,-4.648033131,-9.780512794,-1.14,-13.46069811,6.342894443,0.02,121743.67
2001,667.86,36.67,92.29,20.19,3.64,28.496,3,0.627,0.094,0.511842861,-0.775495921,-0.71,-0.307386595,-0.577125966,0.00025,202910
2002,654.56,30,33.55,4.58,1.51,28.926,1,0.8035,0.075,-0.890320847,-0.963593054,0.4,4.049221655,0.241812043,0.003,174360
2003,622.45,12.48,6.63,0.49,1.54,28.846,1,0.2445,0.029,5.368707432,6.667516043,-0.07,0.167480518,-0.6110916,0.005966667,27306.67
2004,681.58,30.83,28.31,4.95,3.11,28.789,4,0.529,0.068,4.563959462,5.751267872,-0.34,1.146187126,0.067268762,0.0051,119120
2005,614.3,11.57,7.75,0.44,3.79,29.058,1,0.6125,0.0785,-1.794649698,-1.392414862,0.2,-0.42307745,-0.15148736,0.009,153826.67
2006,631.69,14.76,15.43,1.8,0.78,28.789,1,0.219,0.068,5.545773793,3.224153838,-0.23,-1.732840202,1.226515594,0.008666667,0
2007,609.4,18.59,13.65,0.87,2.96,28.727,3,0.3595,0.0705,3.382998235,3.512215579,-0.86,-1.791481982,0.752609496,0.0098,59653.67
2008,685.38,188.6,737.15,103.94,12.39,27.939,8,0.786,0.1025,-7.593186193,-11.32089791,-0.86,-13.85154317,10.74985208,0.020909091,31831
2009,647.33,50.77,94.84,16.92,6.39,28.757,7,1.195,0.1325,2.653814326,4.056555687,-0.06,-2.824740128,7.249403384,0.0215,169411.5
2010,655.99,53.16,108.93,19.12,1.66,28.873,2,0.374,0.0385,6.215672627,7.475380283,-1.33,-0.405085978,-0.67821142,0.006538462,18627
2011,628.12,24.14,32.32,8.61,6.51,27.775,3,0.766,0.066,-2.888340812,-4.121875908,-1.08,4.934103327,-5.120382838,0.008833333,24600.33
2012,563.56,11.73,5.68,1.09,0.61,28.839,1,0.3225,0.037,0.056663629,-1.997269662,-0.28,-4.358893608,0.460250117,0.003733333,237200
2013,684.75,64.89,215.11,48.97,3.06,28.779,7,0.455,0.035,0.814551828,0.324134462,-1.18,-1.303368661,3.25534641,0.004,203482.67
2014,673.13,44,98.38,15.91,4.77,28.388,7,0.29,0.055,4.575341714,5.3905214,-0.01,-0.353914616,3.18284182,0.015689655,472
2015,645.01,22.1,19.37,4.5,5.16,28.678,3,0.181,0.057,-3.780301175,-2.286437809,1.85,7.810498994,2.447875424,0.019407407,10375
2016,609.38,28.83,26.22,4.88,0.98,29.868,2,0.319,0.0245,-0.660906419,-0.561849267,0.36,9.519263587,2.440211729,0,157033
2017,636.39,54.9,95.66,14.06,4.71,28.69,2,0.455,0.076,2.8860782,4.125296248,-0.29,-2.002558973,7.333531767,0.014433333,0
